tag_ID, x, y, position, rotation
62,0,3,4,90
144,0,4,2,0
61,0,7,4,90
66,0,8,2,0
58,1,4,0,270
241,1,8,0,270
233,2,11,4,90
156,2,12,2,0
132,3,11,6,180
150,3,12,0,270
143,3,0,4,90
60,3,1,2,0
155,4,0,6,180
63,3,4,2,0
135,4,3,6,180
142,4,4,0,270
234,4,7,4,90
232,4,8,2,0
197,5,7,6,180
45,5,8,0,270
198,6,3,4,90
14,6,4,2,0
16,7,3,6,180
263,7,4,0,270
146,6,0,4,90
55,6,1,2,0
152,7,0,6,180
133,9,3,4,90
68,10,3,6,180
157,10,4,0,270
57,9,6,4,90
65,10,6,6,180
64,10,7,0,270
261,3,15,0,270
